REG,20190218,3.3,3.39,3.27,3.33,253986
REH,20190218,10.61,10.65,10.26,10.4,117760
RES,20190218,0.063,0.063,0.06,0.06,100000
REX,20190218,1.47,1.47,1.45,1.45,66120
REY,20190218,0.085,0.091,0.085,0.091,7239
RFF,20190218,2.22,2.23,2.19,2.19,190583
RFG,20190218,0.29,0.295,0.29,0.29,560256
RFN,20190218,0.005,0.005,0.005,0.005,669888
RFT,20190218,0.033,0.033,0.033,0.033,135375
RFX,20190218,0.079,0.083,0.077,0.077,455036
RGB,20190218,21.89,21.89,21.82,21.82,585
RGI,20190218,0.275,0.295,0.275,0.29,296369
RGP,20190218,0.073,0.074,0.07,0.074,370143
RGS,20190218,0.125,0.13,0.12,0.13,103999
RHC,20190218,58.91,59.99,58.75,59.83,352067
RHL,20190218,3.06,3.15,3.03,3.09,114991
RHP,20190218,1.6,1.74,1.59,1.7,4881051
RHT,20190218,0.074,0.078,0.073,0.074,1787709
RHY,20190218,0.14,0.14,0.135,0.135,54404
RIC,20190218,1.37,1.41,1.37,1.41,60255
RIM,20190218,0.006,0.006,0.006,0.006,2200000
RIO,20190218,92.21,93.5,92.12,92.6,1526067
RKN,20190218,0.69,0.69,0.68,0.68,24511
RLE,20190218,0.098,0.1,0.097,0.1,718071
RMC,20190218,0.535,0.535,0.535,0.535,28044
RMD,20190218,14.1,14.11,13.93,14.02,1280777
RMI,20190218,0.008,0.008,0.008,0.008,1485
RMP,20190218,0.079,0.079,0.076,0.076,2708423
RMS,20190218,0.605,0.62,0.6,0.62,6574304
RMX,20190218,0.005,0.005,0.005,0.005,580578
RMY,20190218,0.2,0.2,0.19,0.19,23520
RNE,20190218,0.085,0.09,0.085,0.09,94211
RNO,20190218,0.17,0.17,0.16,0.16,73116
RNT,20190218,0.046,0.046,0.046,0.046,13722
RNU,20190218,0.019,0.019,0.018,0.018,1109500
ROO,20190218,0.092,0.095,0.092,0.095,296421
RRL,20190218,5.47,5.57,5.46,5.54,2654275
RRS,20190218,0.001,0.001,0.001,0.001,500000
RSG,20190218,1.085,1.11,1.075,1.09,6162605
RSH,20190218,0.086,0.087,0.086,0.087,80582
RSM,20190218,20.85,20.9,20.85,20.9,517
RTR,20190218,0.05,0.05,0.047,0.05,588807
RUL,20190218,0.6,0.6,0.57,0.57,64332
RVR,20190218,0.165,0.165,0.16,0.165,558197
RVS,20190218,1.72,1.72,1.715,1.715,57500
RWC,20190218,5,5.01,4.915,4.94,2398790
RXH,20190218,0.004,0.004,0.004,0.004,53369
RXL,20190218,0.008,0.008,0.008,0.008,371464
RXM,20190218,0.075,0.078,0.075,0.078,232547
RXP,20190218,0.52,0.52,0.515,0.515,64698
RYD,20190218,1.25,1.25,1.25,1.25,10000
RZI,20190218,0.5,0.505,0.5,0.5,92746
S2R,20190218,0.076,0.076,0.07,0.071,178168
S32,20190218,3.85,3.86,3.8,3.85,21038551
S3R,20190218,0.003,0.003,0.003,0.003,1200000
S66,20190218,0.625,0.625,0.605,0.605,8497
SAR,20190218,3.22,3.34,3.2,3.22,4798475
SBB,20190218,0.012,0.015,0.012,0.014,1375000
SBM,20190218,5.15,5.19,5.09,5.13,2090323
SBR,20190218,0.005,0.005,0.005,0.005,36
SBW,20190218,0.29,0.3,0.29,0.3,50725
SCG,20190218,4.02,4.02,3.95,3.99,9758270
SCI,20190218,0.011,0.011,0.011,0.011,159080
SCP,20190218,2.5,2.52,2.48,2.51,3327653
SCT,20190218,0.15,0.15,0.14,0.145,178391
SCU,20190218,0.02,0.02,0.02,0.02,49469
SDA,20190218,3.26,3.33,3.2,3.33,879964
SDF,20190218,3.07,3.07,2.99,3,1176567
SDG,20190218,1.53,1.53,1.53,1.53,4974
SDI,20190218,0.875,0.88,0.815,0.815,165537
SDV,20190218,0.07,0.07,0.066,0.067,333438
SE1,20190218,0.11,0.11,0.105,0.11,232554
SEA,20190218,0.4,0.41,0.395,0.4,3234101
SEC,20190218,1.71,1.72,1.7,1.72,109491
SEI,20190218,0.021,0.023,0.021,0.023,1077380
SEK,20190218,17.06,17.22,16.78,16.8,1244558
SEN,20190218,0.073,0.073,0.073,0.073,395380
SEQ,20190218,0.265,0.265,0.265,0.265,31306
SFC,20190218,14.49,14.55,14.49,14.49,1924
SFG,20190218,0.115,0.115,0.115,0.115,207925
SFR,20190218,8.1,8.34,8.02,8.18,1221322
SFY,20190218,55.72,56.2,55.72,55.99,4207
SGF,20190218,2.68,2.73,2.585,2.62,474298
SGH,20190218,2.3,2.35,2.3,2.32,2821
SGI,20190218,0.145,0.145,0.145,0.145,160000
SGM,20190218,11.39,11.41,11.12,11.15,692881
SGP,20190218,3.76,3.77,3.73,3.76,6525150
SGQ,20190218,0.145,0.15,0.145,0.15,335875
SGR,20190218,4.6,4.64,4.57,4.58,2047796
SHH,20190218,0.006,0.006,0.006,0.006,59990
SHJ,20190218,0.65,0.67,0.645,0.665,110438
SHL,20190218,23.89,23.93,23.57,23.65,991692
SHM,20190218,0.55,0.575,0.55,0.57,156514
SHO,20190218,0.08,0.08,0.07,0.07,462565
SHV,20190218,6.12,6.25,6.12,6.2,103029
SI6,20190218,0.004,0.004,0.004,0.004,726437
SIG,20190218,0.595,0.6,0.59,0.595,1182376
SIH,20190218,0.014,0.014,0.014,0.014,135882
SIL,20190218,0.305,0.305,0.3,0.3,1124354
SIQ,20190218,9.8,9.8,8.75,8.9,1845957
SIS,20190218,0.073,0.073,0.072,0.073,47324
SIV,20190218,1.84,1.85,1.775,1.805,34569
SKC,20190218,3.71,3.72,3.66,3.68,240146
SKF,20190218,0.15,0.15,0.145,0.145,72359
SKI,20190218,2.26,2.27,2.23,2.25,6150263
SKO,20190218,3.05,3.05,3.03,3.03,6324
SKT,20190218,1.75,1.75,1.672,1.71,242005
SL1,20190218,0.017,0.017,0.017,0.017,130000
SLC,20190218,1.54,1.56,1.52,1.56,455254
SLF,20190218,13.6,13.61,13.51,13.58,24161
SLK,20190218,4.01,4.05,3.98,4.05,10000
SLR,20190218,0.625,0.65,0.625,0.65,3558611
SLX,20190218,0.255,0.26,0.245,0.245,197643
SLZ,20190218,0.11,0.115,0.105,0.11,280500
SM1,20190218,9.41,9.44,9.3,9.41,62836
SM8,20190218,0.019,0.024,0.019,0.023,888481
SMI,20190218,0.005,0.006,0.005,0.005,5778361
SMN,20190218,0.955,0.955,0.925,0.925,115507
SMP,20190218,0.19,0.19,0.185,0.185,10286
SMR,20190218,1.095,1.13,1.095,1.115,279087
SMX,20190218,0.26,0.26,0.26,0.26,843
SNC,20190218,0.855,0.855,0.85,0.85,15000
SND,20190218,0.355,0.36,0.355,0.355,10802
SNL,20190218,3.92,3.93,3.92,3.93,1203
SNS,20190218,0.08,0.08,0.079,0.08,159515
SNZ,20190218,6.04,6.04,6.04,6.04,215
SO4,20190218,0.475,0.48,0.475,0.477,87744
SOL,20190218,29.42,29.66,28.98,29.21,312288
SOM,20190218,1.63,1.63,1.625,1.63,38794
SOR,20190218,0.039,0.039,0.035,0.035,585808
SP3,20190218,0.16,0.16,0.16,0.16,2112
SPK,20190218,3.93,3.93,3.895,3.9,958507
SPL,20190218,1.09,1.092,1.07,1.08,175924
SPO,20190218,1.6,1.6,1.6,1.6,12566
SPQ,20190218,0.005,0.005,0.005,0.005,50000
SPT,20190218,0.855,0.87,0.79,0.795,3473442
SPX,20190218,0.005,0.005,0.005,0.005,249689
SPY,20190218,389.19,389.19,388.15,388.15,88
SPZ,20190218,0.115,0.115,0.115,0.115,261864
SRG,20190218,0.48,0.48,0.475,0.48,97059
SRI,20190218,0.008,0.008,0.008,0.008,2269596
SRN,20190218,0.004,0.004,0.004,0.004,148249
SRO,20190218,0.001,0.001,0.001,0.001,2780670
SRS,20190218,0.066,0.067,0.066,0.066,1800438
SRV,20190218,3.05,3.14,3.05,3.08,40953
SRZ,20190218,0.013,0.013,0.013,0.013,1084
SSG,20190218,0.33,0.345,0.33,0.345,120833
SSM,20190218,1.99,2.07,1.885,2.03,6959900
SSO,20190218,14.63,14.63,14.63,14.63,1999
ST1,20190218,0.14,0.15,0.14,0.145,64793
STA,20190218,0.1,0.1,0.1,0.1,1023830
STG,20190218,1.39,1.39,1.35,1.35,70142
STM,20190218,0.032,0.032,0.03,0.03,355000
STN,20190218,0.2,0.2,0.2,0.2,43150
STO,20190218,6.81,6.855,6.78,6.79,3718177
STW,20190218,57.07,57.15,56.82,56.87,75445
STX,20190218,0.067,0.067,0.065,0.066,577157
SUD,20190218,0.006,0.006,0.005,0.005,255000
SUH,20190218,0.031,0.031,0.031,0.031,11760
SUL,20190218,7.78,8,7.76,7.85,843126
SUN,20190218,13.2,13.23,12.99,13.07,2114163
